date,ETF,Sector,Close,Volume,return_5d,return_20d
2024-06-14,XLC.US,Communication Services,84.13,2402837,0.010341138713895193,0.03233091643884456
2024-06-17,XLC.US,Communication Services,84.53,3420580,0.016798769667573765,0.011948420679048999
2024-06-18,XLC.US,Communication Services,84.03,3004510,0.022967987623467634,0.0173747471141259
2024-06-20,XLC.US,Communication Services,84.39,3650865,0.024410475174783786,0.008531816565943817
2024-06-21,XLC.US,Communication Services,84.94,3757130,0.008476571697668911,0.006239698610783995
2024-06-24,XLC.US,Communication Services,85.0,3724875,0.003529411764705781,0.004117647058823559
2024-06-25,XLC.US,Communication Services,85.95,3225490,0.0012798138452587704,-0.032926119837114576
2024-06-26,XLC.US,Communication Services,85.96,2746544,0.0015123313168916575,-0.044206607724523006
2024-06-27,XLC.US,Communication Services,86.45,2988590,0.015153267784846713,-0.031810294968189656
2024-06-28,XLC.US,Communication Services,85.66,4025085,0.01529301891197754,-0.014242353490544035
2024-07-01,XLC.US,Communication Services,85.3,3213086,0.02274325908558028,-0.006096131301289498
2024-07-02,XLC.US,Communication Services,86.06,2934507,0.020102254241227024,-0.0031373460376481477
2024-07-03,XLC.US,Communication Services,86.09,2081151,0.005807875479149738,0.0005807875479149072
2024-07-05,XLC.US,Communication Services,87.76,3344426,-0.016522333637192355,-0.034412032816773186
2024-07-08,XLC.US,Communication Services,86.97,3043294,-0.0040243762216856105,-0.05358169483730013
2024-07-09,XLC.US,Communication Services,87.24,2348649,-0.004470426409903694,-0.045392022008252986
2024-07-10,XLC.US,Communication Services,87.79,5169648,-0.02562934274974371,-0.05638455404943621
2024-07-11,XLC.US,Communication Services,86.59,3949169,-0.012703545444046727,-0.02425222312045283
2024-07-12,XLC.US,Communication Services,86.31,3443521,-0.013903371567605127,-0.012744757270304774
2024-07-15,XLC.US,Communication Services,86.62,3543007,-0.013276379589009513,-0.023089355806973022
2024-07-16,XLC.US,Communication Services,86.85,3843167,-0.01727115716753025,-0.013010938399539373
2024-07-17,XLC.US,Communication Services,85.54,5221997,-0.028290858078092174,-0.0036240355389292045
2024-07-18,XLC.US,Communication Services,85.49,4524580,-0.03895192420166105,0.005965610012867106
2024-07-19,XLC.US,Communication Services,85.11,3402794,-0.016566795911173715,0.013511925743155961
2024-07-22,XLC.US,Communication Services,85.47,4204911,-0.012051012051012111,0.020709020709020587
2024-07-23,XLC.US,Communication Services,85.35,4242499,-0.006678383128295162,0.021441124780316567
2024-07-24,XLC.US,Communication Services,83.12,7701160,0.03212223291626559,0.05329643888354174
2024-07-25,XLC.US,Communication Services,82.16,7788671,0.048442064264849094,0.05757059396299913
2024-07-26,XLC.US,Communication Services,83.7,6660513,0.012425328554360737,0.045400238948626104
2024-07-29,XLC.US,Communication Services,84.44,4184347,-0.025225011842728517,0.03860729512079586
2024-07-30,XLC.US,Communication Services,84.78,5373815,-0.017692852087756505,0.032083038452465296
2024-07-31,XLC.US,Communication Services,85.79,4545567,-0.03438629210863742,0.013171698333138915
2024-08-01,XLC.US,Communication Services,86.14,7523017,-0.01915486417459955,0.006965405154399695
2024-08-02,XLC.US,Communication Services,84.74,9145589,0.005546377153646365,0.030446070332782682
2024-08-05,XLC.US,Communication Services,82.31,10799514,0.028064633701858854,0.04142874498845828
2024-08-06,XLC.US,Communication Services,83.28,9076867,0.029298751200768525,0.02437560038424591
2024-08-07,XLC.US,Communication Services,82.84,8590866,0.0288507967165621,0.032834379526798685
2024-08-08,XLC.US,Communication Services,84.49,7612025,0.017871937507397462,-0.008521718546573576
2024-08-09,XLC.US,Communication Services,85.21,4385855,0.01232249735946489,-0.012674568712592427
2024-08-12,XLC.US,Communication Services,84.62,3131901,0.030961947530134593,-0.006026943984873578
2024-08-13,XLC.US,Communication Services,85.72,4184103,0.017032197853476427,-0.014699020065329083
2024-08-14,XLC.US,Communication Services,85.23,4069042,0.02722046227854036,0.009503695881731833
2024-08-15,XLC.US,Communication Services,86.0,3665425,0.010348837209302353,0.010116279069767531
2024-08-16,XLC.US,Communication Services,86.26,3928976,0.014375144910734994,0.017621145374449254
